Fauna/Flora,Grupo,Familia,Especie (Simplificado),Nome Comum,Categoria de Ameaca,Sigla Categoria de Ameaca,Bioma,Principais Ameacas,Presenca em areas Protegidas,Plano de Acao Nacional para Conservacao (PAN),Ordenamento Pesqueiro ,Nivel de Protecao na Estrategia Nacional,Especie exclusiva do Brasil,Estados de Ocorrencia,ano_lista
Fauna,Peixes Continentais,Trichomycteridae,Trichomycterus igobi,Candiru,Em Perigo (EN),EN,Mata Atlantica,Outras Atividades Economicas:Energia,Nao,Sim,Nao,1,Sim,PR,2014
Fauna,Peixes Continentais,Trichomycteridae,Trichomycterus itacarambiensis,Desconhecido,Criticamente em Perigo (CR),CR,Cerrado,Desastres Naturais,Sim,Sim,Nao,3,Sim,MG,2014
Fauna,Peixes Continentais,Trichomycteridae,Trichomycterus mboycy,Candiru,Em Perigo (EN),EN,Mata Atlantica,Outras Atividades Economicas:Energia,Nao,Sim,Nao,1,Sim,PR,2014
Fauna,Peixes Continentais,Trichomycteridae,Trichomycterus novalimensis,Cambeva,Em Perigo (EN),EN,Cerrado; Mata Atlantica,Assentamento Humano:cidades; Mineracao; Poluicao,Nao,Sim,Nao,1,Sim,MG,2014
Fauna,Peixes Continentais,Trichomycteridae,Trichomycterus paolence,Cambeva-do-tiete,Em Perigo (EN),EN,Cerrado; Mata Atlantica,Assentamento Humano:cidades; Poluicao,Sim,Sim,Nao,2,Sim,SP,2014
Fauna,Peixes Continentais,Trichomycteridae,Trichomycterus papilliferus,Candiru,Em Perigo (EN),EN,Mata Atlantica,Outras Atividades Economicas:Energia,Nao,Sim,Nao,1,Sim,PR,2014
Fauna,Peixes Continentais,Trichomycteridae,Trichomycterus paquequerense,Desconhecido,Em Perigo (EN),EN,Mata Atlantica,Assentamento Humano:cidades; Poluicao,Nao,Sim,Nao,1,Sim,RJ,2014
Fauna,Peixes Continentais,Trichomycteridae,Trichomycterus rubbioli,Desconhecido,Vulneravel (VU),VU,Cerrado,Agropecuaria; Mineracao,Nao,Nao,Nao,1,Sim,BA,2014
Fauna,Peixes Continentais,Trichomycteridae,Trichomycterus santaeritae,Desconhecido,Criticamente em Perigo (CR),CR,Mata Atlantica,Ameaca Desconhecida,Nao,Sim,Nao,1,Sim,MG,2014
Fauna,Peixes Continentais,Trichomycteridae,Trichomycterus triguttatus,Desconhecido,Criticamente em Perigo (CR),CR,Mata Atlantica,Assentamento Humano:cidades,Nao,Sim,Nao,1,Sim,SP,2014
Fauna,Peixes Continentais,Trichomycteridae,Trichomycterus tropeiro,Cambeva,Criticamente em Perigo (CR),CR,Mata Atlantica; Pampa,Agropecuaria; Especies Exoticas,Nao,Sim,Nao,1,Sim,RS,2014
Flora,Angiospermas,Orchidaceae,Trichopilia santoslimae,-,Criticamente em Perigo (CR),CR,Mata Atlantica,Perda de Habitat/Degradacao (Induzida por Humanos),Sim,Nao,Nao,2,Sim,ES; PE; RJ,2014
Fauna,Peixes Continentais,Rivulidae,Trigonectes strigabundus,Desconhecido,Em Perigo (EN),EN,Cerrado,Assentamento Humano:cidades; Mineracao; Poluicao,Nao,Nao,Nao,1,Sim,TO,2014
Flora,Angiospermas,Trigoniaceae,Trigoniodendron spiritusanctense,-,Vulneravel (VU),VU,Mata Atlantica,Perda de Habitat/Degradacao (Induzida por Humanos),Sim,Nao,Nao,2,Sim,ES; RJ,2014
