Fauna/Flora,Grupo,Familia,Especie (Simplificado),Nome Comum,Categoria de Ameaca,Sigla Categoria de Ameaca,Bioma,Principais Ameacas,Presenca em areas Protegidas,Plano de Acao Nacional para Conservacao (PAN),Ordenamento Pesqueiro ,Nivel de Protecao na Estrategia Nacional,Especie exclusiva do Brasil,Estados de Ocorrencia,ano_lista
Flora,Angiospermas,Salicaceae,Abatia angeliana,-,Vulneravel (VU),VU,Mata Atlantica,Perda de Habitat/Degradacao (Induzida por Humanos),Sim,Sim,Nao,2,Sim,PR,2014
Fauna,Aves,Cracidae,Aburria jacutinga,Jacutinga,Em Perigo (EN),EN,Cerrado; Mata Atlantica,Agropecuaria; Assentamento Humano:cidades; Extracao Direta:Caca/Pesca; Extracao Florestal,Sim,Nao,Nao,4,Nao,BA; ES; MG; PR; RJ; RS; SC; SP,2014
Flora,Angiospermas,Malvaceae,Abutilon anodoides,-,Criticamente em Perigo (CR),CR,Mata Atlantica,Assentamentos Humanos: Cidades,Sim,Sim,Nao,2,Sim,RJ,2014
Flora,Angiospermas,Malvaceae,Abutilon nigricans,-,Criticamente em Perigo (CR),CR,Mata Atlantica,Perda de Habitat/Degradacao (Induzida por Humanos),Sim,Nao,Nao,2,Sim,SP,2014
Flora,Angiospermas,Santalaceae,Acanthosyris paulo-alvinii,-,Vulneravel (VU),VU,Cerrado,Perda de Habitat/Degradacao (Induzida por Humanos),,,,,,,2014
Flora,Angiospermas,Myrtaceae,Accara elegans,-,Em Perigo (EN),EN,Cerrado; Mata Atlantica,Mineracao,,,,,,,2014
Fauna,Invertebrados Terrestres,Coenagrionidae,Aceratobasis cornicauda,Libelula,Vulneravel (VU),VU,Mata Atlantica,Agropecuaria; Assentamento Humano:cidades; Poluicao,Sim,Nao,Nao,2,Sim,BA; ES,2014
Fauna,Invertebrados Terrestres,Coenagrionidae,Aceratobasis mourei,Libelula,Em Perigo (EN),EN,Mata Atlantica,Agropecuaria; Assentamento Humano:cidades,Sim,Nao,Nao,2,Sim,ES,2014
Fauna,Invertebrados Terrestres,Hypogastruridae,Acherontides eleonorae,Colembolo,Em Perigo (EN),EN,Mata Atlantica,Mudanca Na Dinamica Das Especies Nativas; Outras Atividades Economicas:Turismo,Sim,Nao,Nao,3,Sim,PR; SP,2014
Flora,Angiospermas,Plantaginaceae,Achetaria caparaoense,-,Criticamente em Perigo (CR),CR,Mata Atlantica,Queimadas,Sim,Nao,Nao,2,Sim,ES; MG,2014
Flora,Angiospermas,Plantaginaceae,Achetaria latifolia,-,Criticamente em Perigo (CR),CR,Mata Atlantica,Assentamentos Humanos: Cidades,,,,,,,2014
Fauna,Peixes Marinhos,Achiridae,Achirus mucuri,Solha,Vulneravel (VU),VU,Mata Atlantica,Extracao Direta:Caca/Pesca; Outras Atividades Economicas:Energia; Poluicao Assoreamento,Sim,Nao,Nao,1,Sim,BA,2014
Flora,Angiospermas,Orchidaceae,Acianthera adiri,-,Criticamente em Perigo (CR),CR,Mata Atlantica,Perda de Habitat/Degradacao (Induzida por Humanos),Sim,Nao,Nao,2,Sim,PR,2014
Flora,Angiospermas,Orchidaceae,Acianthera heringeri,-,Criticamente em Perigo (CR),CR,Mata Atlantica,Perda de Habitat/Degradacao (Induzida por Humanos),Sim,Nao,Nao,2,Sim,ES; MG; RJ,2014
Flora,Angiospermas,Orchidaceae,Acianthera langeana,-,Em Perigo (EN),EN,Mata Atlantica,Perda de Habitat/Degradacao (Induzida por Humanos),Sim,Nao,Nao,2,Sim,PR,2014
Flora,Angiospermas,Orchidaceae,Acianthera papillosa,-,Vulneravel (VU),VU,Mata Atlantica,Perda de Habitat/Degradacao (Induzida por Humanos),,,,,,,2014
Flora,Angiospermas,Asteraceae,Acmella pusilla,-,Em Perigo (EN),EN,Pampa,Agropecuaria,,,,,,,2014
Flora,Angiospermas,Asteraceae,Acritopappus catolesensis,-,Vulneravel (VU),VU,Caatinga,Queimadas,,,,,,,2014
Flora,Angiospermas,Asteraceae,Acritopappus connatifolius,-,Em Perigo (EN),EN,Caatinga,Perda de Habitat/Degradacao (Induzida por Humanos),Sim,Nao,Nao,2,Sim,BA,2014
Flora,Angiospermas,Asteraceae,Acritopappus irwinii,-,Vulneravel (VU),VU,Caatinga Cerrado,Vazio,Sim,Sim,Nao,2,Informacao nao disponivel,MG,2014
Flora,Angiospermas,Asteraceae,Acritopappus pintoi,-,Criticamente em Perigo (CR),CR,Caatinga,Queimadas,Nao,Nao,Nao,1,Sim,BA,2014
Fauna,Aves,Furnariidae,Acrobatornis fonsecai,Acrobata,Vulneravel (VU),VU,Mata Atlantica,Agropecuaria,Sim,Nao,Nao,2,Sim,BA; MG,2014
Flora,Angiospermas,Arecaceae,Acrocomia emensis,-,Vulneravel (VU),VU,Cerrado,Agropecuaria,,,,,,,2014
Flora,Angiospermas,Eriocaulaceae,Actinocephalus cipoensis,-,Criticamente em Perigo (CR),CR,Cerrado,Perda de Habitat/Degradacao (Induzida por Humanos),,,,,,,2014
Flora,Angiospermas,Eriocaulaceae,Actinocephalus claussenianus,-,Vulneravel (VU),VU,Cerrado,Agropecuaria,,,,,,,2014
Fauna,Invertebrados Terrestres,Nymphalidae,Actinote quadra,Borboleta-palha,Vulneravel (VU),VU,Mata Atlantica,Agropecuaria; Assentamento Humano:cidades,Sim,Sim,Nao,3,Sim,RJ,2014
Fauna,Invertebrados Terrestres,Nymphalidae,Actinote zikani,Borboleta,Criticamente em Perigo (CR),CR,Mata Atlantica,Poluicao,Sim,Sim,Nao,2,Sim,SP,2014
Flora,Angiospermas,Orchidaceae,Adamantinia miltonioides,-,Criticamente em Perigo (CR),CR,Caatinga,Vazio,Sim,Nao,Nao,3,Sim,BA,2014
Fauna,Invertebrados Terrestres,Baetidae,Adebrotus lugoi,Siriruia,Vulneravel (VU),VU,Mata Atlantica,Agropecuaria,Sim,Nao,Nao,2,Sim,ES,2014
Fauna,Anfibios,Eleutherodactylidae,Adelophryne maranguapensis,Desconhecido,Vulneravel (VU),VU,Caatinga,Agropecuaria; Assentamento Humano:cidades,Nao,Sim,Nao,2,Sim,CE,2014
Flora,Angiospermas,Bignoniaceae,Adenocalymma dichilum,-,Em Perigo (EN),EN,Caatinga,Extracao para Combustivel,,,,,,,2014
Flora,Angiospermas,Bignoniaceae,Adenocalymma fruticosum,-,Em Perigo (EN),EN,Cerrado,Queimadas,Sim,Nao,Nao,2,Sim,BA,2014
Flora,Angiospermas,Bignoniaceae,Adenocalymma magnoalatum,-,Em Perigo (EN),EN,Mata Atlantica,Queimadas,Sim,Nao,Nao,2,Sim,MG,2014
Flora,Angiospermas,Bignoniaceae,Adenocalymma ubatubense,-,Criticamente em Perigo (CR),CR,Mata Atlantica,Perda de Habitat/Degradacao (Induzida por Humanos),Sim,Nao,Nao,2,Sim,RJ; SP,2014
Flora,Angiospermas,Euphorbiaceae,Adenophaedra cearensis,-,Criticamente em Perigo (CR),CR,Mata Atlantica,Agropecuaria,Sim,Nao,Nao,2,Sim,CE,2014
Flora,Pteridofitas,Pteridaceae,Adiantum diphyllum,-,Criticamente em Perigo (CR),CR,Mata Atlantica,Agropecuaria,,,,,,,2014
Flora,Pteridofitas,Pteridaceae,Adiantum discolor,-,Em Perigo (EN),EN,Mata Atlantica,Plantacao de Madereiras,,,,,,,2014
Flora,Pteridofitas,Pteridaceae,Adiantum mynsseniae,-,Em Perigo (EN),EN,Mata Atlantica,Agropecuaria,,,,,,,2014
Flora,Pteridofitas,Pteridaceae,Adiantum papillosum,-,Em Perigo (EN),EN,Mata Atlantica,Turismo/Recreacao,,,,,,,2014
Flora,Pteridofitas,Pteridaceae,Adiantum tetragonum,-,Em Perigo (EN),EN,Mata Atlantica,Plantacao de Madereiras,Sim,Nao,Nao,2,Informacao nao disponivel,BA; MG,2014
Flora,Angiospermas,Bromeliaceae,Aechmea alopecurus,-,Em Perigo (EN),EN,Mata Atlantica,Agropecuaria,,,,,,,2014
Flora,Angiospermas,Bromeliaceae,Aechmea amicorum,-,Em Perigo (EN),EN,Mata Atlantica,Perda de Habitat/Degradacao (Induzida por Humanos),,,,,,,2014
Flora,Angiospermas,Bromeliaceae,Aechmea apocalyptica,-,Vulneravel (VU),VU,Mata Atlantica,Perda de Habitat/Degradacao (Induzida por Humanos),,,,,,,2014
Flora,Angiospermas,Bromeliaceae,Aechmea azurea,-,Vulneravel (VU),VU,Mata Atlantica,Agropecuaria,,,,,,,2014
Flora,Angiospermas,Bromeliaceae,Aechmea bambusoides,-,Vulneravel (VU),VU,Mata Atlantica,Vazio,Sim,Nao,Nao,2,Informacao nao disponivel,MG; RJ,2014
Flora,Angiospermas,Bromeliaceae,Aechmea cariocae,-,Em Perigo (EN),EN,Mata Atlantica,Perda de Habitat/Degradacao (Induzida por Humanos),,,,,,,2014
Flora,Angiospermas,Bromeliaceae,Aechmea castanea,-,Em Perigo (EN),EN,Mata Atlantica,Perda de Habitat/Degradacao (Induzida por Humanos),Sim,Nao,Nao,2,Sim,ES,2014
Flora,Angiospermas,Bromeliaceae,Aechmea depressa,-,Em Perigo (EN),EN,Mata Atlantica,Perda de Habitat/Degradacao (Induzida por Humanos),Sim,Nao,Nao,2,Sim,BA; ES,2014
Flora,Angiospermas,Bromeliaceae,Aechmea echinata,-,Em Perigo (EN),EN,Mata Atlantica,Agropecuaria,,,,,,,2014
Flora,Angiospermas,Bromeliaceae,Aechmea fosteriana,-,Em Perigo (EN),EN,Mata Atlantica,Perda de Habitat/Degradacao (Induzida por Humanos),,,,,,,2014
Flora,Angiospermas,Bromeliaceae,Aechmea gustavoi,-,Criticamente em Perigo (CR),CR,Mata Atlantica,Especies Invasoras,,,,,,,2014
Flora,Angiospermas,Bromeliaceae,Aechmea kertesziae,-,Em Perigo (EN),EN,Mata Atlantica,Vazio,Sim,Sim,Nao,2,Sim,SC,2014
Flora,Angiospermas,Bromeliaceae,Aechmea kleinii,-,Em Perigo (EN),EN,Mata Atlantica,Extracao de Nao Madereiras,Sim,Nao,Nao,2,Sim,SC; RS,2014
Flora,Angiospermas,Bromeliaceae,Aechmea macrochlamys,-,Em Perigo (EN),EN,Mata Atlantica,Vazio,Sim,Nao,Nao,2,Sim,ES,2014
Flora,Angiospermas,Bromeliaceae,Aechmea marginalis,-,Criticamente em Perigo (CR),CR,Mata Atlantica,Baixa Densidade,Sim,Nao,Nao,2,Sim,AL,2014
Flora,Angiospermas,Bromeliaceae,Aechmea muricata,-,Em Perigo (EN),EN,Mata Atlantica,Desenvolvimento e Infraestrutura,Sim,Nao,Nao,2,Sim,PE; AL; RN,2014
Flora,Angiospermas,Bromeliaceae,Aechmea mutica,-,Em Perigo (EN),EN,Mata Atlantica,Perda de Habitat/Degradacao (Induzida por Humanos),,,,,,,2014
Flora,Angiospermas,Bromeliaceae,Aechmea orlandiana,-,Criticamente em Perigo (CR),CR,Mata Atlantica,Extracao de Nao Madereiras,Sim,Nao,Nao,2,Sim,ES,2014
Flora,Angiospermas,Bromeliaceae,Aechmea sphaerocephala,-,Em Perigo (EN),EN,Mata Atlantica,Desenvolvimento e Infraestrutura,Sim,Nao,Nao,2,Sim,ES; RJ,2014
Flora,Angiospermas,Bromeliaceae,Aechmea triangularis,-,Em Perigo (EN),EN,Mata Atlantica,Vazio,Sim,Nao,Nao,2,Sim,ES; PR,2014
Flora,Angiospermas,Bromeliaceae,Aechmea vanhoutteana,-,Vulneravel (VU),VU,Mata Atlantica,Vazio,Sim,Nao,Nao,2,Sim,MG; RJ; SP,2014
Flora,Angiospermas,Bromeliaceae,Aechmea werdermannii,-,Em Perigo (EN),EN,Caatinga; Mata Atlantica,Disturbio Humano,Sim,Nao,Nao,2,Sim,PE; AL; RN,2014
Flora,Angiospermas,Bromeliaceae,Aechmea winkleri,-,Criticamente em Perigo (CR),CR,Mata Atlantica,Extracao de Nao Madereiras,Sim,Nao,Nao,2,Sim,RS; SC,2014
Fauna,Invertebrados Aquaticos,Aeglidae,Aegla brevipalma,Egla,Criticamente em Perigo (CR),CR,Mata Atlantica,Agropecuaria; Poluicao,Nao,Sim,Nao,1,Sim,SC,2014
Fauna,Invertebrados Aquaticos,Aeglidae,Aegla camargoi,Egla,Em Perigo (EN),EN,Mata Atlantica,Agropecuaria; Outras Atividades Economicas:Energia,Nao,Sim,Nao,1,Sim,RS; SC,2014
Fauna,Invertebrados Aquaticos,Aeglidae,Aegla cavernicola,Egla,Criticamente em Perigo (CR),CR,Mata Atlantica,Assentamento Humano:cidades; Poluicao,Sim,Nao,Nao,2,Sim,SP,2014
Fauna,Invertebrados Aquaticos,Aeglidae,Aegla franca,Egla,Criticamente em Perigo (CR),CR,Mata Atlantica,Agropecuaria; Outras Atividades Economicas:Industrias; Outras Atividades Economicas:Transporte,Nao,Sim,Nao,1,Sim,MG; SP,2014
Fauna,Invertebrados Aquaticos,Aeglidae,Aegla grisella,Egla,Vulneravel (VU),VU,Mata Atlantica,Agropecuaria; Outras Atividades Economicas:Transporte; Poluicao,Nao,Sim,Nao,1,Sim,RS,2014
Fauna,Invertebrados Aquaticos,Aeglidae,Aegla inconspicua,Egla,Vulneravel (VU),VU,Mata Atlantica; Pampa,Agropecuaria; Outras Atividades Economicas:Energia,Sim,Sim,Nao,1,Sim,RS,2014
Fauna,Invertebrados Aquaticos,Aeglidae,Aegla inermis,Egla,Em Perigo (EN),EN,Mata Atlantica; Pampa,Agropecuaria; Outras Atividades Economicas:Transporte; Poluicao,Sim,Sim,Nao,2,Sim,RS,2014
Fauna,Invertebrados Aquaticos,Aeglidae,Aegla itacolomiensis,Egla,Em Perigo (EN),EN,Mata Atlantica; Pampa,Agropecuaria; Poluicao,Nao,Sim,Nao,1,Sim,RS,2014
Fauna,Invertebrados Aquaticos,Aeglidae,Aegla lata,Egla,Criticamente em Perigo (CR),CR,Mata Atlantica,Agropecuaria; Poluicao; Queimadas,Nao,Sim,Nao,1,Sim,PR,2014
Fauna,Invertebrados Aquaticos,Aeglidae,Aegla leachi,Egla,Em Perigo (EN),EN,Mata Atlantica,Agropecuaria; Poluicao,Nao,Sim,Nao,1,Sim,SC,2014
Fauna,Invertebrados Aquaticos,Aeglidae,Aegla leptochela,Egla,Criticamente em Perigo (CR),CR,Mata Atlantica,Especies Exoticas; Mineracao; Outras Atividades Economicas:Turismo,Nao,Nao,Nao,1,Sim,SP,2014
Fauna,Invertebrados Aquaticos,Aeglidae,Aegla leptodactyla,Egla,Vulneravel (VU),VU,Mata Atlantica,Agropecuaria; Outras Atividades Economicas:Energia,Sim,Sim,Nao,1,Sim,RS; SC,2014
Fauna,Invertebrados Aquaticos,Aeglidae,Aegla ligulata,Egla,Vulneravel (VU),VU,Mata Atlantica,Agropecuaria; Poluicao,Sim,Sim,Nao,2,Sim,RS,2014
Fauna,Invertebrados Aquaticos,Aeglidae,Aegla manuinflata,Egla,Em Perigo (EN),EN,Mata Atlantica; Pampa,Agropecuaria; Poluicao,Nao,Sim,Nao,1,Sim,RS,2014
Fauna,Invertebrados Aquaticos,Aeglidae,Aegla microphthalma,Egla,Criticamente em Perigo (CR),CR,Mata Atlantica,Especies Exoticas; Mineracao,Sim,Nao,Nao,2,Sim,SP,2014
Fauna,Invertebrados Aquaticos,Aeglidae,Aegla oblata,Egla,Em Perigo (EN),EN,Mata Atlantica,Agropecuaria; Outras Atividades Economicas:Energia; Poluicao,Nao,Sim,Nao,1,Sim,SC,2014
Fauna,Invertebrados Aquaticos,Aeglidae,Aegla obstipa,Egla,Em Perigo (EN),EN,Pampa,Agropecuaria; Poluicao; Poluicao Assoreamento,Nao,Nao,Nao,0,Sim,RS,2014
Fauna,Invertebrados Aquaticos,Aeglidae,Aegla perobae,Egla,Criticamente em Perigo (CR),CR,Mata Atlantica,Poluicao,Sim,Sim,Nao,2,Sim,SP,2014
Fauna,Invertebrados Aquaticos,Aeglidae,Aegla plana,Egla,Em Perigo (EN),EN,Mata Atlantica; Pampa,Agropecuaria; Outras Atividades Economicas:Energia,Sim,Sim,Nao,1,Sim,RS,2014
Fauna,Invertebrados Aquaticos,Aeglidae,Aegla pomerana,Egla,Em Perigo (EN),EN,Mata Atlantica,Agropecuaria; Outras Atividades Economicas:Turismo,Nao,Sim,Nao,1,Sim,SC,2014
Fauna,Invertebrados Aquaticos,Aeglidae,Aegla renana,Egla,Criticamente em Perigo (CR),CR,Pampa,Poluicao,Sim,Sim,Nao,1,Sim,RS,2014
Fauna,Invertebrados Aquaticos,Aeglidae,Aegla rossiana,Egla,Em Perigo (EN),EN,Mata Atlantica; Pampa,Agropecuaria; Assentamento Humano:cidades,Sim,Sim,Nao,1,Sim,RS; SC,2014
Fauna,Invertebrados Aquaticos,Aeglidae,Aegla spinipalma,Egla,Vulneravel (VU),VU,Mata Atlantica; Pampa,Agropecuaria; Poluicao,Nao,Sim,Nao,1,Sim,RS,2014
Fauna,Invertebrados Aquaticos,Aeglidae,Aegla spinosa,Egla,Vulneravel (VU),VU,Mata Atlantica,Agropecuaria; Outras Atividades Economicas:Energia,Nao,Sim,Nao,1,Sim,RS; SC,2014
Fauna,Invertebrados Aquaticos,Aeglidae,Aegla strinatii,Egla,Em Perigo (EN),EN,Mata Atlantica,Assentamento Humano:rurais,Sim,Sim,Nao,1,Sim,PR; SP,2014
Fauna,Invertebrados Aquaticos,Aeglidae,Aegla violacea,Egla,Em Perigo (EN),EN,Pampa,Agropecuaria; Especies Exoticas; Poluicao,Sim,Sim,Nao,1,Sim,RS,2014
Flora,Angiospermas,Fabaceae,Aeschynomene fructipendula,-,Em Perigo (EN),EN,Mata Atlantica,Agropecuaria,,,,,,,2014
Flora,Angiospermas,Fabaceae,Aeschynomene laca-buendiana,-,Em Perigo (EN),EN,Cerrado,Distribuicao Restrita,Nao,Sim,Nao,2,Sim,MG,2014
Flora,Angiospermas,Orobanchaceae,Agalinis bandeirensis,-,Criticamente em Perigo (CR),CR,Mata Atlantica,Queimadas,,,,,,,2014
Flora,Angiospermas,Orobanchaceae,Agalinis brachyphylla,-,Vulneravel (VU),VU,Cerrado,Extracao para Combustivel,,,,,,,2014
Flora,Angiospermas,Orobanchaceae,Agalinis itambensis,-,Em Perigo (EN),EN,Cerrado,Extracao para Combustivel,,,,,,,2014
Flora,Angiospermas,Orobanchaceae,Agalinis nana,-,Em Perigo (EN),EN,Cerrado,Desastres Naturais,,,,,,,2014
Flora,Angiospermas,Orobanchaceae,Agalinis ramulifera,-,Em Perigo (EN),EN,Mata Atlantica,Mineracao,,,,,,,2014
Flora,Angiospermas,Orobanchaceae,Agalinis schwackeana,-,Criticamente em Perigo (CR),CR,Cerrado,Assentamentos Humanos: Cidades,,,,,,,2014
Fauna,Anfibios,Hylidae,Agalychnis granulosa,Desconhecido,Vulneravel (VU),VU,Mata Atlantica,Agropecuaria; Assentamento Humano:cidades,Sim,Sim,Nao,4,Sim,AL; PE,2014
Flora,Angiospermas,Asteraceae,Agrianthus almasensis,-,Em Perigo (EN),EN,Cerrado,Perda de Habitat/Degradacao (Induzida por Humanos),,,,,,,2014
Flora,Angiospermas,Asteraceae,Agrianthus giuliettiae,-,Em Perigo (EN),EN,Caatinga; Cerrado,Perda de Habitat/Degradacao (Induzida por Humanos),Sim,Nao,Nao,2,Sim,BA,2014
Flora,Angiospermas,Poaceae,Agrostis lenis,-,Vulneravel (VU),VU,Mata Atlantica,Queimadas,,,,,,,2014
Flora,Angiospermas,Poaceae,Agrostis longiberbis,-,Em Perigo (EN),EN,Mata Atlantica,Poluicao,,,,,,,2014
Fauna,Peixes Continentais,Pimelodidae,Aguarunichthys tocantinsensis,Bagre,Em Perigo (EN),EN,Amazonia; Cerrado,Outras Atividades Economicas:Energia,Sim,Sim,Nao,2,Sim,MT; PA; TO,2014
Flora,Angiospermas,Lauraceae,Aiouea benthamiana,louro rosa,Em Perigo (EN),EN,Amazonia,Perda de Habitat/Degradacao (Induzida por Humanos),,,,,,,2014
Flora,Angiospermas,Lauraceae,Aiouea bracteata,-,Vulneravel (VU),VU,Cerrado; Mata Atlantica,Agropecuaria,Sim,Nao,Nao,2,Sim,SP; MG,2014
Flora,Angiospermas,Lauraceae,Aiouea lehmannii,-,Em Perigo (EN),EN,Amazonia,Extracao de Madeira,,,,,,,2014
Fauna,Mamiferos,Cricetidae,Akodon mystax,Rato-do-chao,Vulneravel (VU),VU,Mata Atlantica,Mudanca Na Dinamica Das Especies Nativas: Patogenias/Parasitas; Queimadas,Sim,Nao,Nao,1,Sim,ES,2014
Flora,Pteridofitas,Polypodiaceae,Alansmia senilis,-,Criticamente em Perigo (CR),CR,Amazonia; Mata Atlantica,Vazio,Sim,Nao,Nao,2,Nao,AM; SP,2014
Flora,Angiospermas,Orchidaceae,Alatiglossum croesus,-,Criticamente em Perigo (CR),CR,Mata Atlantica,Agropecuaria,Sim,Nao,Nao,2,Sim,RJ,2014
Flora,Angiospermas,Fabaceae,Albizia burkartiana,Angico-branco,Vulneravel (VU),VU,Mata Atlantica,Perda de Habitat/Degradacao (Induzida por Humanos),Nao,Nao,Nao,1,Sim,PR; SC; RS,2014
Flora,Angiospermas,Fabaceae,Albizia glabripetala,-,Em Perigo (EN),EN,Amazonia,Poluicao,Sim,Nao,Nao,3,Nao,AM; RO,2014
Flora,Angiospermas,Bromeliaceae,Alcantarea benzingii,-,Criticamente em Perigo (CR),CR,Mata Atlantica,Extracao de Nao Madereiras,,,,,,,2014
Flora,Angiospermas,Bromeliaceae,Alcantarea duarteana,-,Em Perigo (EN),EN,Cerrado,Extracao de Nao Madereiras,,,,,,,2014
Flora,Angiospermas,Bromeliaceae,Alcantarea farneyi,-,Criticamente em Perigo (CR),CR,Mata Atlantica,Turismo/Recreacao,Sim,Sim,Nao,2,Sim,RJ,2014
Flora,Angiospermas,Bromeliaceae,Alcantarea geniculata,-,Em Perigo (EN),EN,Mata Atlantica,Perda de Habitat/Degradacao (Induzida por Humanos),Sim,Sim,Nao,2,Sim,RJ,2014
Flora,Angiospermas,Bromeliaceae,Alcantarea glaziouana,-,Em Perigo (EN),EN,Mata Atlantica,Turismo/Recreacao,,,,,,,2014
Flora,Angiospermas,Bromeliaceae,Alcantarea imperialis,-,Vulneravel (VU),VU,Mata Atlantica,Turismo/Recreacao,,,,,,,2014
Flora,Angiospermas,Bromeliaceae,Alcantarea nahoumii,-,Vulneravel (VU),VU,Caatinga; Mata Atlantica,Extracao de Nao Madereiras,,,,,,,2014
Flora,Angiospermas,Bromeliaceae,Alcantarea nevaresii,-,Em Perigo (EN),EN,Mata Atlantica,Vazio,Sim,Sim,Nao,2,Sim,RJ,2014
Flora,Angiospermas,Bromeliaceae,Alcantarea vinicolor,-,Em Perigo (EN),EN,Mata Atlantica,Extracao de Nao Madereiras,Sim,Nao,Nao,2,Sim,ES,2014
Flora,Angiospermas,Asteraceae,Aldama corumbensis,-,Em Perigo (EN),EN,Cerrado,Vazio,Sim,Nao,Nao,2,Sim,MS,2014
Flora,Angiospermas,Asteraceae,Aldama filifolia,-,Em Perigo (EN),EN,Cerrado,Vazio,Sim,Nao,Nao,2,Sim,BA; GO; MG,2014
Flora,Angiospermas,Asteraceae,Aldama goyazii,-,Vulneravel (VU),VU,Cerrado,Vazio,Sim,Sim,Nao,2,Informacao nao disponivel,GO; MG; SP,2014
Flora,Angiospermas,Asteraceae,Aldama linearifolia,-,Criticamente em Perigo (CR),CR,Cerrado,Vazio,Sim,Nao,Nao,2,Nao,MS,2014
Flora,Angiospermas,Asteraceae,Aldama paranensis,-,Criticamente em Perigo (CR),CR,Cerrado,Vazio,Sim,Nao,Nao,2,Sim,PR,2014
Flora,Angiospermas,Asteraceae,Aldama vernonioides,-,Em Perigo (EN),EN,Cerrado,Vazio,Sim,Nao,Nao,2,Sim,MT,2014
Fauna,Aves,Tyrannidae,Alectrurus tricolor,Galito,Vulneravel (VU),VU,Cerrado; Mata Atlantica; Pantanal,Agropecuaria; Mineracao; Queimadas,Sim,Sim,Nao,4,Nao,BA; DF; GO; MG; MS; MT; PR; SP; TO,2014
Fauna,Invertebrados Terrestres,Sphingidae,Aleuron prominens,Mariposa,Vulneravel (VU),VU,Mata Atlantica,Agropecuaria,Sim,Nao,Nao,2,Sim,PR; RJ; SP,2014
Fauna,Invertebrados Terrestres,Sphingidae,Aleuron ypanemae,Mariposa,Em Perigo (EN),EN,Mata Atlantica,Agropecuaria; Assentamento Humano:cidades; Extracao Florestal; Poluicao,Sim,Nao,Nao,2,Sim,SP,2014
Flora,Angiospermas,Euphorbiaceae,Algernonia dimitrii,-,Criticamente em Perigo (CR),CR,Mata Atlantica,Perda de Habitat/Degradacao (Induzida por Humanos),Sim,Nao,Nao,2,Sim,ES,2014
Flora,Angiospermas,Euphorbiaceae,Algernonia kuhlmannii,sabia; pau de leite,Criticamente em Perigo (CR),CR,Mata Atlantica,Perda de Habitat/Degradacao (Induzida por Humanos),Nao,Nao,Nao,1,Sim,ES,2014
Flora,Angiospermas,Arecaceae,Allagoptera brevicalyx,Cachando,Vulneravel (VU),VU,Caatinga; Mata Atlantica,Assentamentos Humanos: Cidades,,,,,,,2014
Fauna,Anfibios,Aromobatidae,Allobates brunneus,Desconhecido,Criticamente em Perigo (CR),CR,Cerrado,Agropecuaria; Outras Atividades Economicas:Energia,Nao,Sim,Nao,1,Sim,MT,2014
Fauna,Anfibios,Aromobatidae,Allobates goianus,Desconhecido,Em Perigo (EN),EN,Cerrado,Agropecuaria; Mineracao; Outras Atividades Economicas:Energia,Sim,Sim,Nao,3,Sim,DF; GO,2014
Fauna,Anfibios,Aromobatidae,Allobates olfersioides,Desconhecido,Vulneravel (VU),VU,Mata Atlantica,Assentamento Humano:cidades,Sim,Sim,Nao,3,Sim,RJ,2014
Flora,Angiospermas,Rutaceae,Almeidea coerulea,-,Em Perigo (EN),EN,Mata Atlantica,Desenvolvimento e Infraestrutura,Sim,Nao,Nao,2,Sim,BA,2014
Fauna,Peixes Marinhos,Alopiidae,Alopias superciliosus,Tubarao-raposa,Vulneravel (VU),VU,Marinho,Extracao Direta:Caca/Pesca,Sim,Sim,Sim,4,Nao,AL; AP; BA; CE; ES; MA; PA; PB; PE; PI; PR; RJ; RN; RS; SC; SE; SP,2014
Fauna,Peixes Marinhos,Alopiidae,Alopias vulpinus,Tubarao-raposa,Vulneravel (VU),VU,Marinho,Extracao Direta:Caca/Pesca,Sim,Sim,Sim,4,Nao,AL; AP; BA; CE; ES; MA; PA; PB; PE; PI; PR; RJ; RN; RS; SC; SE; SP,2014
Fauna,Mamiferos,Atelidae,Alouatta belzebul,Guariba-de-maos-ruivas,Vulneravel (VU),VU,Amazonia; Mata Atlantica,Agropecuaria; Assentamento Humano:cidades; Assentamento Humano:rurais; Extracao Direta:Caca/Pesca; Outras Atividades Economicas:Energia,Sim,Sim,Nao,5,Sim,AP; MA; PA; TO,2014
Fauna,Mamiferos,Atelidae,Alouatta discolor,Guariba-de-maos-ruivas,Vulneravel (VU),VU,Amazonia,Agropecuaria; Assentamento Humano:rurais; Extracao Direta:Caca/Pesca; Outras Atividades Economicas:Energia; Outras Atividades Economicas:Transporte,Sim,Sim,Nao,4,Sim, MT; PA,2014
Fauna,Mamiferos,Atelidae,Alouatta guariba clamitans,Bugio-ruivo,Vulneravel (VU),VU,Cerrado; Mata Atlantica; Pampa;,Agropecuaria; Assentamento Humano:cidades; Extracao Direta:Caca/Pesca; Mudanca Na Dinamica Das Especies Nativas: Patogenias/Parasitas,Sim,Sim,Nao,3,Sim,ES; MG; PR; RJ; RS; SC; SP,2014
Fauna,Mamiferos,Atelidae,Alouatta guariba guariba,Bugio-marrom,Criticamente em Perigo (CR),CR,Mata Atlantica,Agropecuaria; Assentamento Humano:rurais; Extracao Direta:Caca/Pesca,Sim,Sim,Nao,3,Sim,BA; ES; MG,2014
